data;time;flt01;f0104;f0509;f1014;f1519;f2029;f3039;f4049;f5059;f6069;f7079;fmm80
dez/19;216;572954;2538170;2819485;2364785;2206797;6062117;8466850;6338842;4510636;3026643;1735392;1045405
set/19;213;583131;2534259;2803137;2355079;2214559;6069145;8470253;6274983;4505206;3022809;1734459;1046064
jun-19;210;589115;2536783;2791322;2349338;2224867;6094588;8487654;6226648;4508669;3007718;1720246;1038189
mar/19;207;590617;2512291;2762726;2345618;2224211;6108263;8488451;6173145;4515945;2992532;1707833;1029960
dez/18;204;607128;2528856;2775432;2354537;2247261;6193654;8532200;6146457;4535469;2982688;1695628;1019514
set/18;201;608900;2522370;2767253;2345982;2255323;6225584;8527643;6098664;4531211;2965483;1681240;1008473
jun-18;198;607992;2518205;2761880;2337245;2256296;6256924;8522167;6055741;4525042;2950999;1663749;997840
mar/18;195;601109;2493096;2739421;2321079;2255898;6286640;8483635;5998086;4519222;2939025;1651540;988510
dez/17;192;599968;2507701;2740298;2322374;2273714;6351340;8479005;5969815;4521805;2922951;1635080;976132
set/17;189;580962;2531705;2728038;2319421;2292552;6380991;8463703;5932490;4525713;2908835;1623802;969100
jun-17;186;569034;2545099;2727009;2322102;2317554;6442478;8482640;5905361;4534033;2892059;1609829;963047
mar/17;183;565446;2531603;2719194;2322492;2332198;6504070;8482366;5893791;4545911;2868676;1588905;953966
dez/16;180;589768;2537215;2720711;2328337;2360154;6594917;8502706;5906193;4566167;2868357;1585008;950038
set/16;177;615669;2541875;2728958;2339602;2394615;6693325;8524434;5900403;4572678;2852543;1573714;941195
jun-16;174;624047;2543033;2737630;2350124;2429538;6794524;8559432;5919513;4593160;2842125;1567628;934095
mar/16;171;618884;2535891;2738858;2356432;2461342;6911668;8591626;5937423;4611867;2833459;1562033;925114
dez/15;168;630995;2554447;2756776;2388855;2523198;7080204;8679010;5995257;4654801;2827205;1559827;919417
set/15;165;635386;2576158;2777422;2413555;2565356;7218400;8712205;6018314;4656500;2800846;1546677;909782
jun-15;162;635662;2583384;2795760;2439141;2591253;7340938;8754114;6056830;4663338;2785127;1544964;903189
mar/15;159;623078;2578225;2805417;2451410;2596871;7420120;8755972;6070605;4654751;2761733;1535530;893330
dez/14;156;626825;2597731;2818316;2474897;2626582;7524150;8766699;6083615;4643892;2737998;1524964;882753
set/14;153;617925;2582039;2794069;2466519;2619937;7494496;8672414;6025733;4588288;2697246;1509368;870753
jun-14;150;602022;2563817;2765284;2458767;2597719;7476265;8581057;5972652;4547616;2655475;1495082;857974
mar/14;147;594076;2526217;2744976;2447882;2574796;7452375;8464048;5908798;4495935;2624255;1486300;847905
dez/13;144;593366;2509249;2718125;2439535;2555948;7469857;8369347;5865096;4443571;2579086;1463856;831737
set/13;141;588946;2470794;2675225;2410168;2531000;7415747;8228133;5795004;4370314;2533105;1444116;820262
jun-13;138;571217;2436346;2624270;2375249;2484683;7334522;8056368;5716369;4305517;2494040;1425466;809369
mar/13;135;546820;2387812;2579374;2348716;2439453;7264518;7899404;5652331;4253830;2455963;1408630;797208
