"dataa","flt01","f0104","f0509","f1014","f1519","f2029","f3039","f4049","f5059","f6069","f7079","fmm80","f1019","f2059","f6079","(-Inf,0]","(0,4]","(4,9]","(9,14]","(14,19]","(19,29]","(29,39]","(39,49]","(49,59]","(59,69]","(69,79]","(79, Inf]","(9-19]","(19-59]","(59-79]"
"2002-01-01",9043,16996,4999,2421,2388,4423,3976,3836,3883,4024,4361,3414,4809,16118,8385,3223300,12752516,15940012,16069196,16795438,29502270,23632915,18320968,11774047,7230339,4026077,1643191,32864634,83230200,11256416
"2002-02-01",8390,15343,4339,2372,2185,4241,3752,3745,3770,3993,4165,3349,4557,15508,8158,3223300,12752516,15940012,16069196,16795438,29502270,23632915,18320968,11774047,7230339,4026077,1643191,32864634,83230200,11256416
"2002-03-01",9770,17681,4910,2487,2133,3858,3536,3347,3519,3691,3828,3198,4620,14260,7519,3223300,12752516,15940012,16069196,16795438,29502270,23632915,18320968,11774047,7230339,4026077,1643191,32864634,83230200,11256416
"2002-04-01",12829,20208,5405,2367,2036,3369,3082,2908,3012,3195,3416,2876,4403,12371,6611,3219971.66666667,12740601,15922501.6666667,16056676.3333333,16780243,29454667,23594972.3333333,18288910,11753760.6666667,7221121.33333333,4019287.33333333,1639825,32836919.3333333,83092310,11240408.6666667
"2002-05-01",15558,22501,5603,2374,1916,3442,3113,2923,2882,3189,3407,2763,4290,12360,6596,3216643.33333333,12728686,15904991.3333333,16044156.6666667,16765048,29407064,23557029.6666667,18256852,11733474.3333333,7211903.66666667,4012497.66666667,1636459,32809204.6666667,82954420,11224401.3333333
"2002-06-01",16441,21884,5392,2343,1981,3428,3103,3010,3095,3321,3652,3087,4324,12636,6973,3213315,12716771,15887481,16031637,16749853,29359461,23519087,18224794,11713188,7202686,4005708,1633093,32781490,82816530,11208394
"2002-07-01",15444,21071,5329,2319,2080,3755,3459,3330,3322,3739,3967,3346,4399,13866,7706,3209944.66666667,12705020.6666667,15869238.6666667,16018796,16734386,29312065.6666667,23479837.3333333,18191606.6666667,11692439.6666667,7192376.33333333,3998106.33333333,1628869.66666667,32753182,82675949.3333333,11190482.6666667
"2002-08-01",13603,19500,5209,2469,2144,3942,3672,3537,3673,3947,4358,3639,4613,14824,8305,3206574.33333333,12693270.3333333,15850996.3333333,16005955,16718919,29264670.3333333,23440587.6666667,18158419.3333333,11671691.3333333,7182066.66666667,3990504.66666667,1624646.33333333,32724874,82535368.6666667,11172571.3333333
"2002-09-01",11974,19721,6602,3559,2545,4066,3619,3462,3755,3796,4196,3509,6104,14902,7992,3203204,12681520,15832754,15993114,16703452,29217275,23401338,18125232,11650943,7171757,3982903,1620423,32696566,82394788,11154660
"2002-10-01",11420,18829,6395,3425,2662,4114,3633,3448,3482,3806,4147,3462,6087,14677,7953,3201670.66666667,12673743.3333333,15819646.6666667,15984978.6666667,16692886,29177019.6666667,23370352.3333333,18098416.6666667,11631195.3333333,7160916.33333333,3974220,1616435.66666667,32677864.6666667,82276984,11135136.3333333
"2002-11-01",11417,17928,5771,3164,2304,3734,3234,3285,3303,3551,3827,3266,5468,13556,7378,3200137.33333333,12665966.6666667,15806539.3333333,15976843.3333333,16682320,29136764.3333333,23339366.6666667,18071601.3333333,11611447.6666667,7150075.66666667,3965537,1612448.33333333,32659163.3333333,82159180,11115612.6666667
"2002-12-01",10503,16442,4955,2567,2050,3386,3037,2949,2920,3116,3566,3027,4617,12292,6682,3198604,12658190,15793432,15968708,16671754,29096509,23308381,18044786,11591700,7139235,3956854,1608461,32640462,82041376,11096089
"2003-01-01",10118,15202,4065,2217,2066,3459,3102,3057,3038,3369,3845,3401,4283,12656,7214,3150683,12621773.3333333,15771044.6666667,15920468.6666667,16456656,29779470,23565700.6666667,18646250.6666667,12150120,7343611,4077676,1672732,32377124.6666667,84141541.3333333,11421287
"2003-02-01",8996,13447,3550,1873,1751,3179,2902,2851,2804,3069,3432,3143,3624,11736,6501,3148305,12608642.6666667,15752922.3333333,15910192.3333333,16441290,29728550,23531167.3333333,18614730.3333333,12127809,7331176,4069906,1668087,32351482.3333333,84002256.6666667,11401082
"2003-03-01",11076,16756,4266,2096,1858,3287,2897,2932,2711,3050,3227,2918,3954,11827,6277,3145927,12595512,15734800,15899916,16425924,29677630,23496634,18583210,12105498,7318741,4062136,1663442,32325840,83862972,11380877
"2003-04-01",14913,21471,5292,2447,2086,3399,3113,3074,2931,3474,3720,3178,4533,12517,7194,3137721.33333333,12574776,15710917.6666667,15880871.3333333,16399633,29600400.6666667,23442894.3333333,18534626.6666667,12073249.3333333,7303477.66666667,4051733.66666667,1657508.66666667,32280504.3333333,83651171,11355211.3333333
"2003-05-01",18422,23707,5694,2638,2152,3573,3326,3398,3409,3756,4246,3632,4790,13706,8002,3129515.66666667,12554040,15687035.3333333,15861826.6666667,16373342,29523171.3333333,23389154.6666667,18486043.3333333,12041000.6666667,7288214.33333333,4041331.33333333,1651575.33333333,32235168.6666667,83439370,11329545.6666667
"2003-06-01",17436,23427,6037,2625,2274,3900,3613,3666,3723,3891,4587,3882,4899,14902,8478,3121310,12533304,15663153,15842782,16347051,29445942,23335415,18437460,12008752,7272951,4030929,1645642,32189833,83227569,11303880
"2003-07-01",16812,23256,5911,2729,2545,4369,4009,3985,4065,4376,5098,4249,5274,16428,9474,3113682,12522920,15642673.3333333,15830748.6666667,16329355.3333333,29384600.6666667,23294533.6666667,18399927,11982458,7256538.66666667,4020136.66666667,1639609,32160104,83061519.3333333,11276675.3333333
